Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Gedangan,2020,Implan,1.072,
Tirtoyudo,2020,Implan,800,
Kromengan,2020,Implan,1.257,
Wonosari,2020,Implan,1.687,
Pagelaran,2020,Implan,748,
Donomulyo,2020,Suntikan,8.154,
Pagak,2020,Suntikan,4.261,
Bantur,2020,Suntikan,3.560,
Sumbermanjing Wetan,2020,Suntikan,8.154,
Dampit,2020,Suntikan,12.573,
Ampelgading,2020,Suntikan,4.852,
Poncokusumo,2020,Suntikan,5.962,
Wajak,2020,Suntikan,9.741,
Turen,2020,Suntikan,9.377,
Gondanglegi,2020,Suntikan,5.941,
Kalipare,2020,Suntikan,2.647,
Sumberpucung,2020,Suntikan,3.334,
Kepanjen,2020,Suntikan,6.357,
Bululawang,2020,Suntikan,6.032,
Tajinan,2020,Suntikan,4.366,
Tumpang,2020,Suntikan,5.763,
Jabung,2020,Suntikan,5.506,
Pakis,2020,Suntikan,11.695,
Pakisaji,2020,Suntikan,7.157,
Ngajum,2020,Suntikan,3.784,
Wagir,2020,Suntikan,7.061,
Dau,2020,Suntikan,6.391,
Karangploso,2020,Suntikan,6.628,
Singosari,2020,Suntikan,12.370,
Lawang,2020,Suntikan,8.684,
Pujon,2020,Suntikan,4.369,
Ngantang,2020,Suntikan,3.240,
Kasembon,2020,Suntikan,1.776,
Gedangan,2020,Suntikan,6.203,
Tirtoyudo,2020,Suntikan,5.171,
Kromengan,2020,Suntikan,2.059,
Wonosari,2020,Suntikan,3.184,
Pagelaran,2020,Suntikan,6.221,
Donomulyo,2020,Pil,1.048,
Pagak,2020,Pil,1.467,
Bantur,2020,Pil,2.874,
Sumbermanjing Wetan,2020,Pil,1.933,
Dampit,2020,Pil,2.755,
Ampelgading,2020,Pil,1.660,
Poncokusumo,2020,Pil,2.093,
Wajak,2020,Pil,1.885,
Turen,2020,Pil,1.983,
Gondanglegi,2020,Pil,2.721,
Kalipare,2020,Pil,2.162,
Sumberpucung,2020,Pil,1.485,
Kepanjen,2020,Pil,2.508,
Bululawang,2020,Pil,1.473,
Tajinan,2020,Pil,1.088,
Tumpang,2020,Pil,1.060,
Jabung,2020,Pil,1.218,
Pakis,2020,Pil,2.962,
Pakisaji,2020,Pil,1.806,
Ngajum,2020,Pil,1.368,
Wagir,2020,Pil,3.029,
Dau,2020,Pil,469,
Karangploso,2020,Pil,1.412,
Singosari,2020,Pil,3.232,
Lawang,2020,Pil,2.220,
Pujon,2020,Pil,1.756,
Ngantang,2020,Pil,1.194,
Kasembon,2020,Pil,372,
Gedangan,2020,Pil,1.587,
Tirtoyudo,2020,Pil,1.179,
Kromengan,2020,Pil,1.030,
Wonosari,2020,Pil,805,
Pagelaran,2020,Pil,1.786,
Donomulyo,2021,AKDR,2.002,
Pagak,2021,AKDR,564,
Bantur,2021,AKDR,1.736,
Sumbermanjing Wetan,2021,AKDR,433,
Dampit,2021,AKDR,3.288,
Ampelgading,2021,AKDR,542,
Poncokusumo,2021,AKDR,4.143,
Wajak,2021,AKDR,1.109,
Turen,2021,AKDR,1.974,
Gondanglegi,2021,AKDR,856,
Kalipare,2021,AKDR,1.409,
Sumberpucung,2021,AKDR,722,
Kepanjen,2021,AKDR,3.767,
Bululawang,2021,AKDR,2.434,
Tajinan,2021,AKDR,732,
Tumpang,2021,AKDR,1.563,
Jabung,2021,AKDR,2.746,
Pakis,2021,AKDR,3.765,
Pakisaji,2021,AKDR,955,
Ngajum,2021,AKDR,375,
Wagir,2021,AKDR,2.167,
Dau,2021,AKDR,1.995,
Karangploso,2021,AKDR,1.810,
Singosari,2021,AKDR,2.992,
Lawang,2021,AKDR,4.026,
Pujon,2021,AKDR,1.961,
Ngantang,2021,AKDR,1.768,
Kasembon,2021,AKDR,1.105,
Gedangan,2021,AKDR,317,
Tirtoyudo,2021,AKDR,510,
Kromengan,2021,AKDR,461,
Wonosari,2021,AKDR,1.032,
Pagelaran,2021,AKDR,341,
Donomulyo,2021,MOP,0,
Pagak,2021,MOP,32,
Bantur,2021,MOP,1,
Sumbermanjing Wetan,2021,MOP,10,
Dampit,2021,MOP,9,
Ampelgading,2021,MOP,3,
Poncokusumo,2021,MOP,42,
Wajak,2021,MOP,6,
Turen,2021,MOP,12,
Gondanglegi,2021,MOP,6,
Kalipare,2021,MOP,0,
Sumberpucung,2021,MOP,8,
Kepanjen,2021,MOP,23,
Bululawang,2021,MOP,14,
Tajinan,2021,MOP,9,
Tumpang,2021,MOP,55,
Jabung,2021,MOP,40,
Pakis,2021,MOP,20,
Pakisaji,2021,MOP,13,
Ngajum,2021,MOP,14,
Wagir,2021,MOP,43,
Dau,2021,MOP,7,
Karangploso,2021,MOP,8,
Singosari,2021,MOP,11,
Lawang,2021,MOP,8,
Pujon,2021,MOP,48,
Ngantang,2021,MOP,5,
Kasembon,2021,MOP,1,
Gedangan,2021,MOP,0,
Tirtoyudo,2021,MOP,4,
Kromengan,2021,MOP,2,
Wonosari,2021,MOP,3,
Pagelaran,2021,MOP,3,
Donomulyo,2021,MOW,170,
Pagak,2021,MOW,223,
Bantur,2021,MOW,669,
