Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Pujon,2023,MOW,339,
Ngantang,2023,MOW,357,
Kasembon,2023,MOW,154,
Gedangan,2023,MOW,158,
Tirtoyudo,2023,MOW,557,
Kromengan,2023,MOW,259,
Wonosari,2023,MOW,189,
Pagelaran,2023,MOW,364,
Donomulyo,2023,Kondom,313,
Pagak,2023,Kondom,130,
Bantur,2023,Kondom,369,
Sumbermanjing Wetan,2023,Kondom,76,
Dampit,2023,Kondom,223,
Ampelgading,2023,Kondom,103,
Poncokusumo,2023,Kondom,161,
Wajak,2023,Kondom,294,
Turen,2023,Kondom,551,
Gondanglegi,2023,Kondom,282,
Kalipare,2023,Kondom,356,
Sumberpucung,2023,Kondom,565,
Kepanjen,2023,Kondom,705,
Bululawang,2023,Kondom,358,
Tajinan,2023,Kondom,224,
Tumpang,2023,Kondom,98,
Jabung,2023,Kondom,136,
Pakis,2023,Kondom,943,
Pakisaji,2023,Kondom,241,
Ngajum,2023,Kondom,166,
Wagir,2023,Kondom,162,
Dau,2023,Kondom,169,
Karangploso,2023,Kondom,436,
Singosari,2023,Kondom,604,
Lawang,2023,Kondom,526,
Pujon,2023,Kondom,110,
Ngantang,2023,Kondom,68,
Kasembon,2023,Kondom,33,
Gedangan,2023,Kondom,78,
Tirtoyudo,2023,Kondom,74,
Kromengan,2023,Kondom,181,
Wonosari,2023,Kondom,110,
Pagelaran,2023,Kondom,200,
Donomulyo,2023,Implan,1.457,
Pagak,2023,Implan,690,
Bantur,2023,Implan,745,
Sumbermanjing Wetan,2023,Implan,1.431,
Dampit,2023,Implan,1.156,
Ampelgading,2023,Implan,898,
Poncokusumo,2023,Implan,1.420,
Wajak,2023,Implan,1.599,
Turen,2023,Implan,1.549,
Gondanglegi,2023,Implan,748,
Kalipare,2023,Implan,754,
Sumberpucung,2023,Implan,558,
Kepanjen,2023,Implan,1.200,
Bululawang,2023,Implan,533,
Tajinan,2023,Implan,981,
Tumpang,2023,Implan,659,
Jabung,2023,Implan,1.061,
Pakis,2023,Implan,1.005,
Pakisaji,2023,Implan,1.145,
Ngajum,2023,Implan,1.321,
Wagir,2023,Implan,1.144,
Dau,2023,Implan,409,
Karangploso,2023,Implan,469,
Singosari,2023,Implan,862,
Lawang,2023,Implan,605,
Pujon,2023,Implan,2.404,
Ngantang,2023,Implan,1.062,
Kasembon,2023,Implan,540,
Gedangan,2023,Implan,1.168,
Tirtoyudo,2023,Implan,880,
Kromengan,2023,Implan,632,
Wonosari,2023,Implan,759,
Pagelaran,2023,Implan,895,
Donomulyo,2023,Suntikan,3.652,
Pagak,2023,Suntikan,3.616,
Bantur,2023,Suntikan,5.017,
Sumbermanjing Wetan,2023,Suntikan,7.359,
Dampit,2023,Suntikan,9.059,
Ampelgading,2023,Suntikan,3.952,
Poncokusumo,2023,Suntikan,8.564,
Wajak,2023,Suntikan,7.363,
Turen,2023,Suntikan,7.056,
Gondanglegi,2023,Suntikan,5.584,
Kalipare,2023,Suntikan,3.750,
Sumberpucung,2023,Suntikan,2.375,
Kepanjen,2023,Suntikan,5.015,
Bululawang,2023,Suntikan,4.355,
Tajinan,2023,Suntikan,4.641,
Tumpang,2023,Suntikan,6.499,
Jabung,2023,Suntikan,6.893,
Pakis,2023,Suntikan,10.461,
Pakisaji,2023,Suntikan,5.909,
Ngajum,2023,Suntikan,3.405,
Wagir,2023,Suntikan,6.790,
Dau,2023,Suntikan,4.580,
Karangploso,2023,Suntikan,6.144,
Singosari,2023,Suntikan,12.622,
Lawang,2023,Suntikan,6.819,
Pujon,2023,Suntikan,5.612,
Ngantang,2023,Suntikan,4.506,
Kasembon,2023,Suntikan,1.676,
Gedangan,2023,Suntikan,4.309,
Tirtoyudo,2023,Suntikan,4.571,
Kromengan,2023,Suntikan,2.044,
Wonosari,2023,Suntikan,2.286,
Pagelaran,2023,Suntikan,5.165,
Donomulyo,2023,Pil,1.141,
Pagak,2023,Pil,1.245,
Bantur,2023,Pil,1.972,
Sumbermanjing Wetan,2023,Pil,1.793,
Dampit,2023,Pil,2.406,
Ampelgading,2023,Pil,1.665,
Poncokusumo,2023,Pil,2.069,
Wajak,2023,Pil,1.934,
Turen,2023,Pil,1.342,
Gondanglegi,2023,Pil,2.314,
Kalipare,2023,Pil,1.819,
Sumberpucung,2023,Pil,1.100,
Kepanjen,2023,Pil,3.135,
Bululawang,2023,Pil,2.192,
Tajinan,2023,Pil,1.373,
Tumpang,2023,Pil,1.820,
Jabung,2023,Pil,1.247,
Pakis,2023,Pil,3.408,
Pakisaji,2023,Pil,2.292,
Ngajum,2023,Pil,1.156,
Wagir,2023,Pil,2.081,
Dau,2023,Pil,1.411,
Karangploso,2023,Pil,1.640,
Singosari,2023,Pil,3.402,
Lawang,2023,Pil,1.662,
Pujon,2023,Pil,1.456,
Ngantang,2023,Pil,1.504,
Kasembon,2023,Pil,945,
Gedangan,2023,Pil,984,
Tirtoyudo,2023,Pil,1.551,
Kromengan,2023,Pil,769,
Wonosari,2023,Pil,1.044,
Pagelaran,2023,Pil,1.725,
Donomulyo,2024,AKDR,590,
Pagak,2024,AKDR,313,
Bantur,2024,AKDR,176,
Sumbermanjing Wetan,2024,AKDR,315,
Dampit,2024,AKDR,997,
Ampelgading,2024,AKDR,441,
Poncokusumo,2024,AKDR,1.209,
Wajak,2024,AKDR,912,
Turen,2024,AKDR,1.663,
Gondanglegi,2024,AKDR,477,
Kalipare,2024,AKDR,275,
Sumberpucung,2024,AKDR,712,
Kepanjen,2024,AKDR,1.342,
Bululawang,2024,AKDR,1.057,
Tajinan,2024,AKDR,674,
Tumpang,2024,AKDR,1.815,
Jabung,2024,AKDR,744,
Pakis,2024,AKDR,3.012,
Pakisaji,2024,AKDR,873,
Ngajum,2024,AKDR,328,
Wagir,2024,AKDR,1.286,
Dau,2024,AKDR,1.333,
Karangploso,2024,AKDR,2.032,
Singosari,2024,AKDR,2.942,
Lawang,2024,AKDR,2.200,
Pujon,2024,AKDR,1.230,
Ngantang,2024,AKDR,1.299,
Kasembon,2024,AKDR,407,
Gedangan,2024,AKDR,236,
Tirtoyudo,2024,AKDR,495,
Kromengan,2024,AKDR,362,
Wonosari,2024,AKDR,364,
Pagelaran,2024,AKDR,315,
Donomulyo,2024,MOP,6,
Pagak,2024,MOP,1,
Bantur,2024,MOP,2,
Sumbermanjing Wetan,2024,MOP,8,
Dampit,2024,MOP,12,
Ampelgading,2024,MOP,3,
Poncokusumo,2024,MOP,13,
Wajak,2024,MOP,10,
Turen,2024,MOP,8,
Gondanglegi,2024,MOP,7,
Kalipare,2024,MOP,1,
Sumberpucung,2024,MOP,6,
Kepanjen,2024,MOP,9,
Bululawang,2024,MOP,12,
Tajinan,2024,MOP,5,
Tumpang,2024,MOP,16,
Jabung,2024,MOP,19,
Pakis,2024,MOP,18,
Pakisaji,2024,MOP,5,
Ngajum,2024,MOP,6,
Wagir,2024,MOP,37,
Dau,2024,MOP,9,
Karangploso,2024,MOP,6,
Singosari,2024,MOP,20,
Lawang,2024,MOP,20,
Pujon,2024,MOP,9,
Ngantang,2024,MOP,11,
Kasembon,2024,MOP,1,
Gedangan,2024,MOP,3,
Tirtoyudo,2024,MOP,5,
Kromengan,2024,MOP,0,
Wonosari,2024,MOP,4,
Pagelaran,2024,MOP,5,
Donomulyo,2024,MOW,179,
Pagak,2024,MOW,191,
Bantur,2024,MOW,198,
Sumbermanjing Wetan,2024,MOW,446,
Dampit,2024,MOW,491,
Ampelgading,2024,MOW,261,
Poncokusumo,2024,MOW,519,
Wajak,2024,MOW,520,
Turen,2024,MOW,645,
Gondanglegi,2024,MOW,426,
Kalipare,2024,MOW,164,
Sumberpucung,2024,MOW,397,
Kepanjen,2024,MOW,695,
Bululawang,2024,MOW,430,
Tajinan,2024,MOW,326,
Tumpang,2024,MOW,452,
Jabung,2024,MOW,395,
Pakis,2024,MOW,924,
Pakisaji,2024,MOW,585,
Ngajum,2024,MOW,331,
Wagir,2024,MOW,430,
Dau,2024,MOW,473,
Karangploso,2024,MOW,608,
Singosari,2024,MOW,991,
Lawang,2024,MOW,570,
Pujon,2024,MOW,281,
Ngantang,2024,MOW,330,
Kasembon,2024,MOW,150,
Gedangan,2024,MOW,166,
Tirtoyudo,2024,MOW,539,
Kromengan,2024,MOW,310,
Wonosari,2024,MOW,228,
Pagelaran,2024,MOW,380,
Donomulyo,2024,Kondom,325,
Pagak,2024,Kondom,82,
Bantur,2024,Kondom,193,
Sumbermanjing Wetan,2024,Kondom,75,
Dampit,2024,Kondom,252,
Ampelgading,2024,Kondom,81,
Poncokusumo,2024,Kondom,211,
Wajak,2024,Kondom,212,
Turen,2024,Kondom,256,
Gondanglegi,2024,Kondom,208,
Kalipare,2024,Kondom,210,
Sumberpucung,2024,Kondom,529,
Kepanjen,2024,Kondom,774,
Bululawang,2024,Kondom,276,
Tajinan,2024,Kondom,181,
Tumpang,2024,Kondom,143,
Jabung,2024,Kondom,151,
Pakis,2024,Kondom,1.033,
Pakisaji,2024,Kondom,437,
Ngajum,2024,Kondom,209,
Wagir,2024,Kondom,174,
Dau,2024,Kondom,215,
Karangploso,2024,Kondom,431,
Singosari,2024,Kondom,1.068,
Lawang,2024,Kondom,535,
Pujon,2024,Kondom,81,
Ngantang,2024,Kondom,54,
Kasembon,2024,Kondom,63,
Gedangan,2024,Kondom,91,
Tirtoyudo,2024,Kondom,106,
Kromengan,2024,Kondom,181,
Wonosari,2024,Kondom,153,
Pagelaran,2024,Kondom,111,
Donomulyo,2024,Implan,1.523,
Pagak,2024,Implan,734,
Bantur,2024,Implan,876,
Sumbermanjing Wetan,2024,Implan,1.660,
Dampit,2024,Implan,1.804,
Ampelgading,2024,Implan,1.043,
Poncokusumo,2024,Implan,1.492,
Wajak,2024,Implan,1.938,
Turen,2024,Implan,1.667,
Gondanglegi,2024,Implan,900,
Kalipare,2024,Implan,788,
Sumberpucung,2024,Implan,616,
Kepanjen,2024,Implan,1.171,
Bululawang,2024,Implan,689,
Tajinan,2024,Implan,1.086,
Tumpang,2024,Implan,690,
Jabung,2024,Implan,1.179,
Pakis,2024,Implan,1.179,
Pakisaji,2024,Implan,1.069,
Ngajum,2024,Implan,1.268,
Wagir,2024,Implan,976,
Dau,2024,Implan,476,
Karangploso,2024,Implan,493,
Singosari,2024,Implan,1.086,
Lawang,2024,Implan,699,
Pujon,2024,Implan,2.337,
Ngantang,2024,Implan,1.107,
Kasembon,2024,Implan,645,
Gedangan,2024,Implan,1.175,
Tirtoyudo,2024,Implan,1.109,
Kromengan,2024,Implan,650,
Wonosari,2024,Implan,872,
Pagelaran,2024,Implan,927,
Donomulyo,2024,Suntikan,3.336,
Pagak,2024,Suntikan,3.938,
Bantur,2024,Suntikan,4.459,
Sumbermanjing Wetan,2024,Suntikan,6.798,
Dampit,2024,Suntikan,9.325,
Ampelgading,2024,Suntikan,3.399,
Poncokusumo,2024,Suntikan,7.441,
Wajak,2024,Suntikan,7.262,
Turen,2024,Suntikan,6.820,
Gondanglegi,2024,Suntikan,5.615,
Kalipare,2024,Suntikan,3.452,
Sumberpucung,2024,Suntikan,2.554,
Kepanjen,2024,Suntikan,5.601,
Bululawang,2024,Suntikan,4.250,
Tajinan,2024,Suntikan,4.418,
Tumpang,2024,Suntikan,6.735,
Jabung,2024,Suntikan,7.127,
Pakis,2024,Suntikan,10.195,
Pakisaji,2024,Suntikan,5.074,
Ngajum,2024,Suntikan,3.247,
Wagir,2024,Suntikan,6.945,
Dau,2024,Suntikan,4.223,
Karangploso,2024,Suntikan,5.428,
Singosari,2024,Suntikan,12.598,
Lawang,2024,Suntikan,6.222,
Pujon,2024,Suntikan,4.429,
Ngantang,2024,Suntikan,4.712,
Kasembon,2024,Suntikan,1.586,
Gedangan,2024,Suntikan,3.732,
Tirtoyudo,2024,Suntikan,4.747,
Kromengan,2024,Suntikan,1.985,
Wonosari,2024,Suntikan,2.270,
Pagelaran,2024,Suntikan,4.296,
Donomulyo,2024,Pil,1.138,
Pagak,2024,Pil,1.024,
Bantur,2024,Pil,1.248,
Sumbermanjing Wetan,2024,Pil,1.415,
Dampit,2024,Pil,1.769,
Ampelgading,2024,Pil,1.300,
Poncokusumo,2024,Pil,1.529,
Wajak,2024,Pil,1.588,
Turen,2024,Pil,1.670,
Gondanglegi,2024,Pil,2.095,
Kalipare,2024,Pil,948,
Sumberpucung,2024,Pil,917,
Kepanjen,2024,Pil,2.135,
Bululawang,2024,Pil,2.071,
Tajinan,2024,Pil,971,
Tumpang,2024,Pil,1.387,
Jabung,2024,Pil,913,
Pakis,2024,Pil,2.652,
Pakisaji,2024,Pil,1.990,
Ngajum,2024,Pil,908,
Wagir,2024,Pil,1.560,
Dau,2024,Pil,849,
Karangploso,2024,Pil,1.364,
Singosari,2024,Pil,3.434,
Lawang,2024,Pil,1.445,
Pujon,2024,Pil,983,
Ngantang,2024,Pil,944,
Kasembon,2024,Pil,705,
Gedangan,2024,Pil,705,
Tirtoyudo,2024,Pil,1.316,
Kromengan,2024,Pil,594,
Wonosari,2024,Pil,1.011,
Pagelaran,2024,Pil,1.832,
