No,ID Kecamatan,Kecamatan,Tahun,Jenjang,Jumlah Penduduk Usia Sekolah,Jumlah Siswa Usia Sekolah,Total Siswa,APK (%),APM (%),Jumlah Guru S1/D4,Total Guru,Persentase Guru S1,Jumlah Sekolah Terakreditasi,Jumlah Sekolah,Persentase Sekolah Terakreditasi
275,11,Kalipare,2023,SD,5954,3332,3459,58.1,87.71,312,329,94.83,42,42,100
276,12,Sumberpucung,2023,SD,5238,4610,4808,91.79,152.94,279,297,93.94,32,33,96.97
277,13,Kepanjen,2023,SD,2860,8791,9124,319.02,125.71,492,522,94.25,50,50,100
278,14,Bululawang,2023,SD,6914,3301,3350,48.45,73.61,195,217,89.86,24,26,92.31
279,15,Tajinan,2023,SD,5354,2565,2605,48.66,71.64,163,171,95.32,21,21,100
280,16,Tumpang,2023,SD,7308,5154,5354,73.26,106.07,275,311,88.42,34,34,100
281,17,Jabung,2023,SD,7274,4328,4304,59.17,92.69,246,260,94.62,34,34,100
282,18,Pakis,2023,SD,14761,7263,7505,50.84,74.23,354,375,94.4,35,38,92.11
283,19,Pakisaji,2023,SD,9002,6107,6353,70.57,107.56,299,309,96.76,32,34,94.12
284,20,Ngajum,2023,SD,5118,3303,3459,67.58,103.14,236,250,94.4,30,30,100
285,21,Wagir,2023,SD,8443,5582,5845,69.23,106.57,288,304,94.74,34,34,100
286,22,Dau,2023,SD,6194,3973,4039,65.21,97.03,275,301,91.36,27,28,96.43
287,23,Karangploso,2023,SD,8006,4256,4404,55.01,81.48,244,254,96.06,23,24,95.83
288,24,Singosari,2023,SD,17426,11854,12327,70.74,106.41,573,600,95.5,54,55,98.18
289,25,Lawang,2023,SD,10720,8964,9112,85,131.02,487,544,89.52,48,49,97.96
290,26,Pujon,2023,SD,6969,4181,4320,61.99,96.1,240,262,91.6,30,30,100
291,27,Ngantang,2023,SD,5249,3902,4104,78.19,119.82,257,270,95.19,35,36,97.22
292,28,Kasembon,2023,SD,2861,1773,1738,60.75,98,139,143,97.2,19,19,100
293,29,Gedangan,2023,SD,5298,3957,4142,78.18,114.13,283,299,94.65,34,34,100
294,30,Tirtoyudo,2023,SD,6298,5248,5475,86.93,128.16,290,315,92.06,36,36,100
295,31,Kromengan,2023,SD,3726,2438,2539,68.14,109.09,192,217,88.48,22,22,100
296,32,Wonosari,2023,SD,4062,3222,3359,82.69,119.47,228,239,95.4,31,31,100
297,33,Pagelaran,2023,SD,7208,2831,2949,40.91,60.78,204,215,94.88,19,19,100
298,1,Donomulyo,2024,SD,5533,3809,4115,92.6,87.1,274,292,94,45,45,100
299,2,Pagak,2024,SD,4755,3408,3643,91.6,86.7,193,200,97,30,30,100
300,3,Bantur,2024,SD,7056,4291,4664,91.2,85.9,270,288,94,37,37,100
301,4,Sumbermanjing Wetan,2024,SD,9544,6099,6646,96.3,90.7,359,389,92,51,51,100
302,5,Dampit,2024,SD,12071,7543,8097,88.8,84.3,371,388,96,50,51,98
303,6,Ampelgading,2024,SD,5185,3649,3952,96.7,91.7,201,214,94,30,30,100
304,7,Poncokusumo,2024,SD,9245,4497,4922,96.8,92.2,275,291,95,39,41,95
305,8,Wajak,2024,SD,8487,4362,4647,99.2,95.8,231,245,94,36,36,100
306,9,Turen,2024,SD,11722,6455,6958,100.8,96.5,369,400,92,50,50,100
307,10,Gondanglegi,2024,SD,8909,4250,4573,105.7,102.1,206,243,85,27,31,87
308,11,Kalipare,2024,SD,5756,3204,3411,92.8,89.2,243,257,95,42,42,100
309,12,Sumberpucung,2024,SD,4989,4511,4813,103,97,210,230,91,32,33,97
310,13,Kepanjen,2024,SD,10657,8473,9071,100.7,96.7,412,443,93,50,50,100
311,14,Bululawang,2024,SD,6971,3167,3402,108.2,104.8,184,209,88,24,26,92
312,15,Tajinan,2024,SD,5451,2537,2713,93.3,90.2,146,151,97,21,21,100
313,16,Tumpang,2024,SD,7425,4902,5318,103,97.6,227,257,88,34,34,100
314,17,Jabung,2024,SD,7426,4120,4453,99.2,94.8,201,214,94,34,34,100
315,18,Pakis,2024,SD,14755,7079,7572,80.4,77.2,267,293,91,35,38,92
316,19,Pakisaji,2024,SD,8759,5943,6376,91.8,86.9,231,249,93,32,34,94
317,20,Ngajum,2024,SD,4954,3154,3330,84.9,81.3,195,211,92,30,30,100
318,21,Wagir,2024,SD,8468,5436,5766,74.7,71.1,232,250,93,33,34,97
319,22,Dau,2024,SD,6108,3813,4090,85.7,81.8,228,258,88,26,28,93
320,23,Karangploso,2024,SD,7770,4139,4430,85.5,84.6,194,202,96,23,24,96
321,24,Singosari,2024,SD,17445,11509,12352,96.6,91.7,486,538,90,54,55,98
322,25,Lawang,2024,SD,10319,8665,9284,105.8,101.3,420,479,88,49,49,100
323,26,Pujon,2024,SD,6891,3967,4246,94.9,90.9,202,223,91,29,30,97
324,27,Ngantang,2024,SD,5039,3799,4118,96.5,91,215,222,97,35,36,97
325,28,Kasembon,2024,SD,2731,1723,1868,99.5,94.3,117,126,93,19,19,100
326,29,Gedangan,2024,SD,5393,3834,4095,98.8,94.3,231,242,95,32,34,94
327,30,Tirtoyudo,2024,SD,6192,5194,5530,95.6,90.2,239,260,92,36,36,100
328,31,Kromengan,2024,SD,3553,2357,2518,87.1,82.6,168,182,92,22,22,100
329,32,Wonosari,2024,SD,3761,3118,3287,98.2,93.8,201,210,96,30,31,97
330,33,Pagelaran,2024,SD,7260,2671,2908,88.7,85.4,169,177,95,19,19,100
331,1,Donomulyo,2020,SMP,2714,2499,2511,92.52,92.08,63,78,80.77,9,9,100
332,2,Pagak,2020,SMP,2069,1764,1777,85.89,85.26,65,67,97.01,7,7,100
333,3,Bantur,2020,SMP,2992,3359,3384,113.1,112.27,95,97,97.94,11,11,100
334,4,Sumbermanjing Wetan,2020,SMP,2735,3611,3618,132.29,132.03,72,75,96,11,12,91.67
335,5,Dampit,2020,SMP,5350,4477,4509,84.28,83.68,72,74,97.3,13,13,100
336,6,Ampelgading,2020,SMP,2278,1781,1806,79.28,78.18,78,80,97.5,8,8,100
337,7,Poncokusumo,2020,SMP,4658,4877,4891,105,104.7,58,60,96.67,10,10,100
338,8,Wajak,2020,SMP,3777,3562,3588,95,94.31,42,46,91.3,12,13,92.31
339,9,Turen,2020,SMP,5378,5394,5425,100.87,100.3,80,104,76.92,14,14,100
340,10,Gondanglegi,2020,SMP,5078,8358,8400,165.42,164.59,60,62,96.77,17,17,94.44
341,11,Kalipare,2020,SMP,2564,2119,1672,65.21,82.64,65,71,91.55,11,11,100
342,12,Sumberpucung,2020,SMP,3959,2705,2736,69.11,68.33,97,101,96.04,7,7,100
343,13,Kepanjen,2020,SMP,5410,6478,6510,120.33,119.74,244,250,97.6,16,16,100
344,14,Bululawang,2020,SMP,4309,8851,8901,206.57,205.41,92,94,97.87,12,13,92.31
345,15,Tajinan,2020,SMP,2585,1477,1523,58.92,57.14,31,32,96.88,6,6,100
346,16,Tumpang,2020,SMP,3441,3260,3281,95.35,94.74,78,79,98.73,8,8,100
347,17,Jabung,2020,SMP,3678,3796,3816,103.75,103.21,75,79,94.94,7,7,100
348,18,Pakis,2020,SMP,7984,5222,5274,66.05,65.41,73,75,97.33,12,13,92.31
349,19,Pakisaji,2020,SMP,4399,2552,2573,58.49,58.01,48,57,84.21,12,12,100
350,20,Ngajum,2020,SMP,2234,2271,2302,103.04,101.66,55,59,93.22,8,8,100
351,21,Wagir,2020,SMP,4310,2286,2287,53.06,53.04,73,74,98.65,8,8,100
352,22,Dau,2020,SMP,3758,4022,4037,107.42,107.03,42,43,97.67,10,10,100
353,23,Karangploso,2020,SMP,4152,3747,3777,90.97,90.25,96,98,97.96,11,11,100
354,24,Singosari,2020,SMP,9538,8219,8243,86.42,86.17,206,209,98.56,21,21,100
355,25,Lawang,2020,SMP,5583,4952,4981,89.22,88.7,155,157,98.73,17,17,100
356,26,Pujon,2020,SMP,3630,2792,2807,77.33,76.91,71,75,94.67,8,8,100
357,27,Ngantang,2020,SMP,2596,2209,2227,85.79,85.09,71,73,97.26,9,9,100
358,28,Kasembon,2020,SMP,1568,1470,1477,94.2,93.75,63,69,91.3,4,4,100
359,29,Gedangan,2020,SMP,2377,1693,1711,71.98,71.22,29,30,96.67,10,10,100
360,30,Tirtoyudo,2020,SMP,2768,2643,2667,96.35,95.48,59,64,92.19,11,12,91.67
361,31,Kromengan,2020,SMP,1648,1392,1396,84.71,84.47,30,33,90.91,5,5,100
362,32,Wonosari,2020,SMP,1843,1753,1760,95.5,95.12,28,31,90.32,5,5,100
363,33,Pagelaran,2020,SMP,3479,3642,3656,105.09,104.69,33,34,97.06,8,8,100
364,1,Donomulyo,2021,SMP,2444,2444,1562,72.34,63.91,96,110,87.27,9,9,100
365,2,Pagak,2021,SMP,2036,2036,1620,78,79.57,76,84,90.48,6,7,85.71
366,3,Bantur,2021,SMP,3060,3060,1774,61.37,57.97,130,133,97.74,11,11,100
367,4,Sumbermanjing Wetan,2021,SMP,4288,4288,1819,45.59,42.42,95,113,84.07,11,13,84.62
368,5,Dampit,2021,SMP,4970,4970,2718,74.65,54.69,159,176,90.34,13,14,92.86
369,6,Ampelgading,2021,SMP,2461,2461,1494,68.18,60.71,65,70,92.86,8,8,100
370,7,Poncokusumo,2021,SMP,3902,3902,2164,71.86,55.46,106,119,89.08,9,10,90
371,8,Wajak,2021,SMP,3586,3586,2417,100.7,67.4,112,124,90.32,11,14,78.57
372,9,Turen,2021,SMP,5340,5340,2892,68.56,54.16,185,197,93.91,14,16,87.5
373,10,Gondanglegi,2021,SMP,3850,3850,6059,226.49,157.38,209,232,90.09,16,21,76.19
374,11,Kalipare,2021,SMP,2754,2754,1687,60.2,61.26,108,121,89.26,11,11,100
375,12,Sumberpucung,2021,SMP,2482,2482,2275,110.52,91.66,127,135,94.07,7,7,100
376,13,Kepanjen,2021,SMP,1412,1412,4833,529.46,342.28,309,317,97.48,15,17,88.24
377,14,Bululawang,2021,SMP,3094,3094,8421,365.9,272.17,252,265,95.09,11,13,84.62
378,15,Tajinan,2021,SMP,2358,2358,1432,94.83,60.73,55,57,96.49,6,6,100
379,16,Tumpang,2021,SMP,3134,3134,3466,76.16,110.59,133,138,96.38,8,8,100
380,17,Jabung,2021,SMP,3157,3157,2272,83.69,71.97,116,126,92.06,6,8,75
381,18,Pakis,2021,SMP,6507,6507,4371,77.33,67.17,195,211,92.42,11,14,78.57
382,19,Pakisaji,2021,SMP,4038,4038,1867,54.48,46.24,108,120,90,12,12,100
383,20,Ngajum,2021,SMP,2312,2312,1759,88.84,76.08,98,116,84.48,8,8,100
384,21,Wagir,2021,SMP,3802,3802,2162,65.18,56.86,134,139,96.4,7,8,87.5
385,22,Dau,2021,SMP,2836,2836,3094,124.89,109.1,159,180,88.33,10,10,100
386,23,Karangploso,2021,SMP,3676,3676,2163,68.72,58.84,138,140,98.57,8,11,72.73
387,24,Singosari,2021,SMP,7788,7788,7573,106.95,97.24,351,363,96.69,21,21,100
388,25,Lawang,2021,SMP,5022,5022,4571,73.68,91.02,209,224,93.3,16,17,94.12
389,26,Pujon,2021,SMP,3129,3129,1580,60.05,50.5,112,115,97.39,8,8,100
390,27,Ngantang,2021,SMP,2496,2496,1777,82.93,71.19,100,108,92.59,9,9,100
391,28,Kasembon,2021,SMP,1412,1412,1639,111.9,116.08,79,82,96.34,4,4,100
392,29,Gedangan,2021,SMP,2245,2245,1565,72.65,69.71,79,90,87.78,9,10,90
393,30,Tirtoyudo,2021,SMP,2864,2864,1869,79.19,65.26,123,143,86.01,11,12,91.67
394,31,Kromengan,2021,SMP,1760,1760,911,90.23,51.76,57,61,93.44,5,5,100
395,32,Wonosari,2021,SMP,1910,1910,1175,75.13,61.52,36,43,83.72,5,5,100
396,33,Pagelaran,2021,SMP,3124,3124,1538,48.59,49.23,82,95,86.32,8,9,88.89
397,1,Donomulyo,2022,SMP,2444,1162,1162,123.26,123.26,90,98,91.84,9,9,100
398,2,Pagak,2022,SMP,2036,1320,1320,93.08,93.08,82,93,88.17,7,7,100
399,3,Bantur,2022,SMP,3060,1574,1574,74.94,74.94,130,132,98.48,11,11,100
400,4,Sumbermanjing Wetan,2022,SMP,4288,1619,1619,60.59,60.59,104,117,88.89,11,13,84.62
401,5,Dampit,2022,SMP,4970,2418,2418,60.12,60.12,138,159,86.79,13,14,92.86
402,6,Ampelgading,2022,SMP,2461,994,994,23.91,23.91,72,78,92.31,8,8,100
403,7,Poncokusumo,2022,SMP,3902,2169,2169,74.04,74.04,110,130,84.62,9,10,90
404,8,Wajak,2022,SMP,3586,2417,2417,72.08,72.08,116,134,86.57,12,14,85.71
405,9,Turen,2022,SMP,5340,2892,2892,64.52,64.52,180,206,87.38,14,16,87.5
406,10,Gondanglegi,2022,SMP,3850,4074,4074,78.19,78.19,212,266,79.7,17,23,73.91
407,11,Kalipare,2022,SMP,2754,1387,1387,74.24,74.24,107,120,89.17,11,11,100
408,12,Sumberpucung,2022,SMP,2482,2275,2275,107.97,107.97,114,122,93.44,6,7,85.72
409,13,Kepanjen,2022,SMP,1412,4896,4896,142.03,142.03,286,308,92.86,15,18,88.24
410,14,Bululawang,2022,SMP,3094,6475,6475,150.56,150.56,259,279,92.83,12,13,92.31
411,15,Tajinan,2022,SMP,2358,732,732,45.34,45.34,56,63,88.89,5,7,83.33
412,16,Tumpang,2022,SMP,3134,2066,2066,75.99,75.99,130,136,95.59,8,8,100
413,17,Jabung,2022,SMP,3157,2272,2272,97.7,97.7,121,125,96.8,7,8,87.5
414,18,Pakis,2022,SMP,6507,4371,4371,87.78,87.78,198,212,93.4,12,14,85.71
415,19,Pakisaji,2022,SMP,4038,1867,1867,65.97,65.97,101,113,89.38,12,12,100
416,20,Ngajum,2022,SMP,2312,1759,1759,112.4,112.4,93,108,86.11,8,8,100
417,21,Wagir,2022,SMP,3802,2162,2162,78.37,78.37,119,127,93.7,8,8,100
418,22,Dau,2022,SMP,2836,3094,3094,161.21,161.21,132,152,86.84,9,10,90
419,23,Karangploso,2022,SMP,3676,2163,2163,92.44,92.44,168,176,95.45,8,11,72.73
420,24,Singosari,2022,SMP,7788,5573,5573,38.29,38.29,361,373,96.78,21,22,100
421,25,Lawang,2022,SMP,5022,3161,3161,92.47,92.47,219,231,94.81,16,17,94.12
422,26,Pujon,2022,SMP,3129,1580,1580,73.51,73.51,107,111,96.4,8,8,100
423,27,Ngantang,2022,SMP,2496,1777,1777,108.01,108.01,100,105,95.24,8,8,100
424,28,Kasembon,2022,SMP,1412,1239,1239,132.37,132.37,71,74,95.95,4,4,100
425,29,Gedangan,2022,SMP,2245,865,865,56.02,56.02,74,85,87.06,9,10,90
426,30,Tirtoyudo,2022,SMP,2864,1769,1769,64.95,64.95,116,133,87.22,12,12,100
427,31,Kromengan,2022,SMP,1760,911,911,75.98,75.98,56,61,91.8,5,5,100
428,32,Wonosari,2022,SMP,1910,775,775,59.5,59.5,34,39,87.18,5,5,100
429,33,Pagelaran,2022,SMP,3124,1138,1138,53.78,53.78,74,83,89.16,8,9,88.89
430,1,Donomulyo,2023,SMP,2444,1249,1382,56.55,78.71,93,101,92.08,8,8,100
431,2,Pagak,2023,SMP,2036,1324,1558,76.52,61.91,94,100,94,7,7,100
432,3,Bantur,2023,SMP,3060,1626,1857,60.69,90.58,145,147,98.64,11,11,100
433,4,Sumbermanjing Wetan,2023,SMP,4288,1719,1960,45.71,74.73,118,135,87.41,12,13,92.31
434,5,Dampit,2023,SMP,4970,2514,2778,55.9,86.27,156,179,87.15,13,14,92.86
435,6,Ampelgading,2023,SMP,2461,1026,1135,46.12,59.11,88,93,94.62,8,8,100
436,7,Poncokusumo,2023,SMP,3902,2519,2866,73.45,97.45,128,147,87.07,10,10,100
437,8,Wajak,2023,SMP,3586,2465,2857,79.67,90.25,123,151,81.46,13,14,92.86
438,9,Turen,2023,SMP,5340,3062,3256,60.97,97.17,203,230,88.26,12,15,80
439,10,Gondanglegi,2023,SMP,3850,4367,4899,127.25,235.69,230,290,79.31,16,23,69.57
440,11,Kalipare,2023,SMP,2754,1298,1513,54.94,63.04,113,128,88.28,11,11,100
441,12,Sumberpucung,2023,SMP,2482,2296,2594,104.51,89.59,134,141,95.04,7,8,87.5
442,13,Kepanjen,2023,SMP,1412,5139,5696,403.4,135.68,305,329,92.71,16,18,88.89
443,14,Bululawang,2023,SMP,3094,6745,7556,244.21,267.18,284,309,91.91,12,13,92.31
444,15,Tajinan,2023,SMP,2358,818,954,40.46,52.97,67,72,93.06,6,7,85.71
445,16,Tumpang,2023,SMP,3134,2065,2326,74.22,87.71,166,172,96.51,8,8,100
446,17,Jabung,2023,SMP,3157,2496,2838,89.9,119.29,135,144,93.75,7,8,87.5
447,18,Pakis,2023,SMP,6507,4556,5112,78.56,81.43,202,234,86.32,12,13,92.31
448,19,Pakisaji,2023,SMP,4038,1835,2061,51.04,48.35,118,129,91.47,12,12,100
449,20,Ngajum,2023,SMP,2312,1717,1970,85.21,71.34,97,111,87.39,8,8,100
450,21,Wagir,2023,SMP,3802,2166,2442,64.23,55.23,118,136,86.76,8,8,100
451,22,Dau,2023,SMP,2836,2990,3264,115.09,125.12,188,202,93.07,9,11,81.82
452,23,Karangploso,2023,SMP,3676,2692,2657,72.28,106.53,214,228,93.86,10,11,90.91
453,24,Singosari,2023,SMP,7788,5704,6368,81.77,102.48,388,399,97.24,21,23,91.3
454,25,Lawang,2023,SMP,5022,3222,3485,69.39,95.69,237,249,95.18,16,16,100
455,26,Pujon,2023,SMP,3129,1697,1916,61.23,75.37,113,118,95.76,8,8,100
456,27,Ngantang,2023,SMP,2496,1862,2053,82.25,74.61,111,114,97.37,8,8,100
457,28,Kasembon,2023,SMP,1412,1263,1486,105.24,87.28,75,78,96.15,4,4,100
458,29,Gedangan,2023,SMP,2245,920,1062,47.31,59.98,83,95,87.37,10,10,100
459,30,Tirtoyudo,2023,SMP,2864,1790,2081,72.66,80.24,120,140,85.71,12,12,100
460,31,Kromengan,2023,SMP,1760,895,1047,59.49,53.32,62,68,91.18,5,5,100
461,32,Wonosari,2023,SMP,1910,857,986,51.62,68.01,37,40,92.5,5,5,100
462,33,Pagelaran,2023,SMP,3124,1167,1365,43.69,95.02,79,91,86.81,8,9,88.89
463,1,Donomulyo,2024,SMP,2853,2853,1473,94.81,87.84,72,80,90,8,8,100
464,2,Pagak,2024,SMP,2370,2370,1619,74.22,81.14,71,76,93,6,7,86
465,3,Bantur,2024,SMP,3544,3544,1976,99.44,90.15,123,132,93,11,12,92
466,4,Sumbermanjing Wetan,2024,SMP,4998,4998,2043,77.59,70.85,92,109,84,12,13,92
467,5,Dampit,2024,SMP,6092,6092,3000,85.98,81.86,122,138,88,13,14,93
468,6,Ampelgading,2024,SMP,2832,2832,1326,72,71.22,72,81,89,8,8,100
469,7,Poncokusumo,2024,SMP,4498,4498,2912,115.25,112.29,108,130,83,10,10,100
470,8,Wajak,2024,SMP,4202,4202,2971,91.65,91.15,92,125,74,13,14,93
471,9,Turen,2024,SMP,5973,5973,3549,97.12,88.58,155,191,81,12,15,80
472,10,Gondanglegi,2024,SMP,4342,4342,5068,223.31,205,186,252,74,16,24,67
473,11,Kalipare,2024,SMP,2974,2974,1539,73.74,72.43,87,101,86,11,11,100
474,12,Sumberpucung,2024,SMP,2705,2705,2593,97.38,95.05,109,128,85,6,7,86
475,13,Kepanjen,2024,SMP,5785,5785,5909,132.31,128.83,245,285,86,16,18,89
476,14,Bululawang,2024,SMP,3520,3520,7457,246.59,213.81,240,276,87,13,14,93
477,15,Tajinan,2024,SMP,2672,2672,974,63.32,68.49,47,60,78,6,7,86
478,16,Tumpang,2024,SMP,3596,3596,2483,97.39,92.27,122,147,83,8,8,100
479,17,Jabung,2024,SMP,3657,3657,3251,128.47,121.96,118,145,81,7,10,70
480,18,Pakis,2024,SMP,7455,7455,5018,80.8,79.64,198,223,89,12,13,92
481,19,Pakisaji,2024,SMP,4610,4610,2194,62.02,57.16,105,121,87,12,12,100
482,20,Ngajum,2024,SMP,2608,2608,1978,86.46,78.41,86,104,83,8,8,100
483,21,Wagir,2024,SMP,4263,4263,2538,59.77,71.03,92,124,74,8,8,100
484,22,Dau,2024,SMP,3174,3174,3580,134.28,120.95,136,153,89,9,12,75
485,23,Karangploso,2024,SMP,4098,4098,3508,122.65,136.7,178,220,81,10,12,83
486,24,Singosari,2024,SMP,8875,8875,6543,97.66,86.57,315,357,88,21,23,91
487,25,Lawang,2024,SMP,5654,5654,3726,91.12,96.3,195,218,89,16,16,100
488,26,Pujon,2024,SMP,3548,3548,1990,80.38,77.25,94,108,87,8,8,100
489,27,Ngantang,2024,SMP,2748,2748,2070,81.88,102.95,90,96,94,8,8,100
490,28,Kasembon,2024,SMP,1487,1487,1462,104.44,110.96,59,64,92,4,4,100
491,29,Gedangan,2024,SMP,2673,2673,1038,66.89,78.49,62,73,85,10,10,100
492,30,Tirtoyudo,2024,SMP,3176,3176,2175,84.04,74.15,96,115,83,11,12,92
493,31,Kromengan,2024,SMP,1927,1927,1033,70.58,67.93,49,57,86,5,5,100
494,32,Wonosari,2024,SMP,2183,2183,1004,64.91,73.93,35,41,85,4,4,100
495,33,Pagelaran,2024,SMP,3604,3604,1455,104.61,97.7,60,81,74,8,9,89
