No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
45,Bantur,Wonokerto,01/01/2020,2020,Agustus,315,32,323,2617,"17,3","0,173",0,2,4,2,9,9
46,Gedangan,Gedangan,01/01/2020,2020,Agustus,41,32,41,2782,"2,9","0,029",0,2,6,6,6,6
47,Sumbermanjing Wetan,Sitiarjo,01/01/2020,2020,Agustus,173,32,226,2523,"9,3","0,093",0,1,2,0,6,6
48,Sumbermanjing Wetan,Sumbermanjing,01/01/2020,2020,Agustus,386,32,511,2918,"19,7","0,197",0,1,2,0,12,13
49,Dampit,Dampit,01/01/2020,2020,Agustus,146,32,181,1837,"28,3","0,283",0,2,4,2,17,17
50,Dampit,Pamotan,01/01/2020,2020,Agustus,265,32,384,2778,"0,6","0,006",0,2,4,3,13,13
51,Tirtoyudo,Tirtoyudo,01/01/2020,2020,Agustus,268,32,374,2506,"22,5","0,225",0,1,4,4,17,17
52,Ampelgading,Ampelgading,01/01/2020,2020,Agustus,73,32,93,3147,"16,4","0,164",0,1,2,2,7,7
53,Poncokusumo,Poncokusumo,01/01/2020,2020,Agustus,189,32,213,6413,"4,7","0,047",0,1,4,1,7,7
54,Wajak,Wajak,01/01/2020,2020,Agustus,303,32,327,5061,11,"0,11",0,1,2,1,9,9
55,Turen,Turen,01/01/2020,2020,Agustus,896,32,1111,7511,"18,9","0,189",2,1,4,1,7,7
56,Bululawang,Bululawang,01/01/2020,2020,Agustus,426,32,521,3200,"15,5","0,155",1,1,4,6,18,18
57,Gondanglegi,Gondanglegi,01/01/2020,2020,Agustus,550,32,766,3020,"27,7","0,277",1,2,3,3,14,14
