No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
222,Pakisaji,Pakisaji,01/01/2022,2022,Agustus,241,42,283,5323,"5,3","0,053",1,1,2,3,9,9
223,Tajinan,Tajinan,01/01/2022,2022,Agustus,483,100,583,3535,"16,5","0,165",0,1,3,7,7,9
224,Tumpang,Tumpang,01/01/2022,2022,Agustus,436,87,523,5259,"9,9","0,099",1,1,2,2,6,8
225,Pakis,Pakis,01/01/2022,2022,Agustus,336,63,399,8520,"4,7","0,047",2,1,2,5,12,12
226,Jabung,Jabung,01/01/2022,2022,Agustus,582,299,881,3121,"28,2","0,282",0,1,2,3,9,10
227,Lawang,Lawang,01/01/2022,2022,Agustus,274,33,307,6498,"4,7","0,047",6,1,3,3,13,13
228,Singosari,Singosari,01/01/2022,2022,Agustus,128,2,130,5703,"2,3","0,023",3,2,4,0,6,6
229,Singosari,Ardimulyo,01/01/2022,2022,Agustus,222,35,257,4556,"5,6","0,056",3,2,4,0,7,8
230,Karangploso,Karangploso,01/01/2022,2022,Agustus,161,37,198,5662,"3,5","0,035",0,1,3,0,6,6
231,Dau,Dau,01/01/2022,2022,Agustus,283,67,350,4072,"8,6","0,086",1,1,2,4,13,13
232,Pujon,Pujon,01/01/2022,2022,Agustus,789,244,1033,3920,"26,4","0,264",0,1,1,2,7,7
233,Ngantang,Ngantang,01/01/2022,2022,Agustus,587,143,730,3283,"22,2","0,222",0,1,3,2,8,8
234,Kasembon,Kasembon,01/01/2022,2022,Agustus,98,12,110,1759,"6,3","0,063",1,1,2,5,10,10
235,Donomulyo,Donomulyo,01/01/2023,2023,Februari,165,28,193,3757,"5,1","0,051",0,1,4,4,6,8
236,Kalipare,Kalipare,01/01/2023,2023,Februari,126,36,162,3714,"4,4","0,044",0,1,3,1,0,7
237,Pagak,Pagak,01/01/2023,2023,Februari,42,0,42,1336,"3,1","0,031",0,2,3,1,2,3
238,Pagak,Sumbermanjing Kulon,01/01/2023,2023,Februari,35,11,46,1076,"4,3","0,043",0,2,3,1,4,3
239,Bantur,Bantur,01/01/2023,2023,Februari,122,17,139,2052,"6,8","0,068",0,2,4,0,3,4
240,Bantur,Wonokerto,01/01/2023,2023,Februari,172,18,190,2522,"7,5","0,075",0,2,4,0,0,5
241,Gedangan,Gedangan,01/01/2023,2023,Februari,72,10,82,2757,3,"0,03",0,1,3,0,7,6
242,Sumbermanjing Wetan,Sitiarjo,01/01/2023,2023,Februari,140,67,207,1989,"10,4","0,104",0,2,5,0,0,6
243,Sumbermanjing Wetan,Sumbermanjing,01/01/2023,2023,Februari,463,102,565,3443,"16,4","0,164",0,2,5,1,2,7
244,Dampit,Dampit,01/01/2023,2023,Februari,120,54,174,3763,"4,6","0,046",0,2,4,0,5,6
245,Dampit,Pamotan,01/01/2023,2023,Februari,31,4,35,3249,"1,1","0,011",0,2,4,1,6,6
246,Tirtoyudo,Tirtoyudo,01/01/2023,2023,Februari,225,53,278,3261,"8,5","0,085",0,1,4,3,13,11
247,Ampelgading,Ampelgading,01/01/2023,2023,Februari,56,23,79,3221,"2,5","0,025",0,1,2,1,13,13
248,Poncokusumo,Poncokusumo,01/01/2023,2023,Februari,5,10,15,6263,"0,2","0,002",0,1,4,3,0,15
249,Wajak,Wajak,01/01/2023,2023,Februari,394,28,422,5152,"8,2","0,082",1,1,2,3,0,9
250,Turen,Turen,01/01/2023,2023,Februari,403,70,473,7307,"6,5","0,065",2,1,4,4,13,15
251,Bululawang,Bululawang,01/01/2023,2023,Februari,562,145,707,3357,"21,1","0,211",1,1,4,0,14,11
252,Gondanglegi,Gondanglegi,01/01/2023,2023,Februari,168,48,216,3067,7,"0,07",1,2,3,4,0,7
253,Gondanglegi,Ketawang,01/01/2023,2023,Februari,90,53,143,2218,"6,4","0,064",1,2,3,1,0,7
254,Pagelaran,Pagelaran,01/01/2023,2023,Februari,315,1,316,4418,"7,2","0,072",0,1,2,5,9,6
255,Kepanjen,Kepanjen,01/01/2023,2023,Februari,184,63,247,7042,"3,5","0,035",3,1,3,8,18,18
256,Sumberpucung,Sumberpucung,01/01/2023,2023,Februari,186,48,234,3189,"7,3","0,073",0,1,1,1,7,7
257,Kromengan,Kromengan,01/01/2023,2023,Februari,85,9,94,2377,4,"0,04",1,1,1,2,0,6
258,Ngajum,Ngajum,01/01/2023,2023,Februari,210,50,260,2360,11,"0,11",0,1,2,0,7,8
259,Wonosari,Wonosari,01/01/2023,2023,Februari,74,25,99,1535,"6,4","0,064",0,1,2,0,0,8
260,Wagir,Wagir,01/01/2023,2023,Februari,122,23,145,5063,"2,9","0,029",0,1,3,0,9,11
261,Pakisaji,Pakisaji,01/01/2023,2023,Februari,142,27,169,5583,3,"0,03",1,1,2,2,0,11
262,Tajinan,Tajinan,01/01/2023,2023,Februari,349,94,443,3628,"12,2","0,122",0,1,3,3,12,12
263,Tumpang,Tumpang,01/01/2023,2023,Februari,365,112,477,5377,"8,9","0,089",1,1,2,1,13,12
264,Pakis,Pakis,01/01/2023,2023,Februari,255,32,287,8662,"3,3","0,033",2,1,2,9,0,14
265,Jabung,Jabung,01/01/2023,2023,Februari,272,106,378,3641,"10,4","0,104",0,1,2,4,0,12
266,Lawang,Lawang,01/01/2023,2023,Februari,294,36,330,5891,"5,6","0,056",5,1,3,6,9,12
267,Singosari,Singosari,01/01/2023,2023,Februari,200,51,251,6282,4,"0,04",2,2,4,11,0,9
268,Singosari,Ardimulyo,01/01/2023,2023,Februari,149,40,189,4484,"4,2","0,042",2,2,4,2,6,8
269,Karangploso,Karangploso,01/01/2023,2023,Februari,258,67,325,5726,"5,7","0,057",1,1,3,5,6,9
270,Dau,Dau,01/01/2023,2023,Februari,178,51,229,2947,"7,8","0,078",1,1,2,10,10,10
271,Pujon,Pujon,01/01/2023,2023,Februari,518,125,643,3632,"17,7","0,177",0,1,2,2,9,10
272,Ngantang,Ngantang,01/01/2023,2023,Februari,484,106,590,3426,"17,2","0,172",1,1,2,3,10,12
273,Kasembon,Kasembon,01/01/2023,2023,Februari,236,18,254,1675,"15,2","0,152",1,1,2,0,4,6
274,Donomulyo,Donomulyo,01/01/2023,2023,Agustus,211,48,259,3613,"7,2","0,072",0,1,4,4,6,8
275,Kalipare,Kalipare,01/01/2023,2023,Agustus,107,34,141,3067,"4,6","0,046",0,1,3,1,0,7
276,Pagak,Pagak,01/01/2023,2023,Agustus,43,1,44,1382,"3,2","0,032",0,2,3,1,2,3
277,Pagak,Sumbermanjing Kulon,01/01/2023,2023,Agustus,34,10,44,1072,"4,1","0,041",0,2,3,1,4,3
278,Bantur,Bantur,01/01/2023,2023,Agustus,122,19,141,1953,"7,2","0,072",0,2,4,0,3,4
279,Bantur,Wonokerto,01/01/2023,2023,Agustus,172,14,186,2498,"7,4","0,074",0,2,4,0,0,5
280,Gedangan,Gedangan,01/01/2023,2023,Agustus,67,25,92,2104,"4,4","0,044",0,1,3,0,7,6
281,Sumbermanjing Wetan,Sitiarjo,01/01/2023,2023,Agustus,137,64,201,1818,"11,1","0,111",0,2,5,0,0,6
282,Sumbermanjing Wetan,Sumbermanjing,01/01/2023,2023,Agustus,429,88,517,3285,"15,7","0,157",0,2,5,1,2,7
283,Dampit,Dampit,01/01/2023,2023,Agustus,85,44,129,3763,"3,4","0,034",0,2,4,0,5,6
284,Dampit,Pamotan,01/01/2023,2023,Agustus,28,4,32,3031,"1,1","0,011",0,2,4,1,6,6
285,Tirtoyudo,Tirtoyudo,01/01/2023,2023,Agustus,235,63,298,3652,"8,2","0,082",0,1,4,3,13,11
286,Ampelgading,Ampelgading,01/01/2023,2023,Agustus,68,17,85,3011,"2,8","0,028",0,1,2,1,13,13
287,Poncokusumo,Poncokusumo,01/01/2023,2023,Agustus,46,19,65,6130,"1,1","0,011",0,1,4,3,0,15
288,Wajak,Wajak,01/01/2023,2023,Agustus,390,17,407,4631,"8,8","0,088",1,1,2,3,0,9
289,Turen,Turen,01/01/2023,2023,Agustus,402,72,474,7263,"6,5","0,065",2,1,4,4,13,15
290,Bululawang,Bululawang,01/01/2023,2023,Agustus,209,19,228,3723,"6,1","0,061",1,1,4,0,14,11
291,Gondanglegi,Gondanglegi,01/01/2023,2023,Agustus,170,49,219,2731,8,"0,08",1,2,3,4,0,7
292,Gondanglegi,Ketawang,01/01/2023,2023,Agustus,86,43,129,2470,"5,2","0,052",1,2,3,1,0,7
293,Pagelaran,Pagelaran,01/01/2023,2023,Agustus,293,28,321,4446,"7,2","0,072",0,1,2,5,9,6
294,Kepanjen,Kepanjen,01/01/2023,2023,Agustus,219,35,254,6591,"3,9","0,039",3,1,3,8,18,18
295,Sumberpucung,Sumberpucung,01/01/2023,2023,Agustus,178,42,220,3124,7,"0,07",0,1,1,1,7,7
296,Kromengan,Kromengan,01/01/2023,2023,Agustus,117,16,133,2276,"5,8","0,058",1,1,1,2,0,6
297,Ngajum,Ngajum,01/01/2023,2023,Agustus,431,189,620,2453,"25,3","0,253",0,1,2,0,7,8
298,Wonosari,Wonosari,01/01/2023,2023,Agustus,59,26,85,1670,"5,1","0,051",0,1,2,0,0,8
299,Wagir,Wagir,01/01/2023,2023,Agustus,110,49,159,5686,"2,8","0,028",0,1,3,0,9,11
300,Pakisaji,Pakisaji,01/01/2023,2023,Agustus,153,21,174,5435,"3,2","0,032",1,1,2,2,0,11
301,Tajinan,Tajinan,01/01/2023,2023,Agustus,243,93,336,3766,"8,9","0,089",0,1,3,3,12,12
302,Tumpang,Tumpang,01/01/2023,2023,Agustus,442,100,542,5386,"10,1","0,101",1,1,2,1,13,12
303,Pakis,Pakis,01/01/2023,2023,Agustus,243,17,260,8719,3,"0,03",2,1,2,9,0,14
304,Jabung,Jabung,01/01/2023,2023,Agustus,239,102,341,3537,"9,6","0,096",0,1,2,4,0,12
305,Lawang,Lawang,01/01/2023,2023,Agustus,232,30,262,5595,"4,7","0,047",5,1,3,6,9,12
306,Singosari,Singosari,01/01/2023,2023,Agustus,71,24,95,5535,"1,7","0,017",2,2,4,11,0,9
307,Singosari,Ardimulyo,01/01/2023,2023,Agustus,82,18,100,4322,"2,3","0,023",2,2,4,2,6,8
308,Karangploso,Karangploso,01/01/2023,2023,Agustus,151,38,189,5598,"3,4","0,034",1,1,3,5,6,9
309,Dau,Dau,01/01/2023,2023,Agustus,234,60,294,3180,"9,2","0,092",1,1,2,10,10,10
310,Pujon,Pujon,01/01/2023,2023,Agustus,536,132,668,3541,"18,9","0,189",0,1,2,2,9,10
311,Ngantang,Ngantang,01/01/2023,2023,Agustus,482,119,601,3415,"17,6","0,176",1,1,2,3,10,12
312,Kasembon,Kasembon,01/01/2023,2023,Agustus,113,16,129,1757,"7,3","0,073",1,1,2,0,4,6
313,Donomulyo,Donomulyo,01/01/2024,2024,Februari,147,50,197,3639,"5,4","0,054",0,1,4,4,6,6
314,Kalipare,Kalipare,01/01/2024,2024,Februari,116,44,160,3027,"5,3","0,053",0,1,3,1,2,2
315,Pagak,Pagak,01/01/2024,2024,Februari,25,1,26,1643,"1,6","0,016",0,2,3,0,4,4
316,Pagak,Sumbermanjing Kulon,01/01/2024,2024,Februari,31,12,43,1030,"4,2","0,042",0,2,3,0,3,3
317,Bantur,Bantur,01/01/2024,2024,Februari,148,19,167,1933,"8,6","0,086",0,2,4,1,5,5
318,Bantur,Wonokerto,01/01/2024,2024,Februari,94,7,101,2324,"4,3","0,043",0,2,4,2,9,9
319,Gedangan,Gedangan,01/01/2024,2024,Februari,167,63,230,2721,"8,5","0,085",0,1,3,2,6,6
320,Sumbermanjing Wetan,Sitiarjo,01/01/2024,2024,Februari,146,34,180,1872,"9,6","0,096",0,2,5,1,6,6
321,Sumbermanjing Wetan,Sumbermanjing,01/01/2024,2024,Februari,383,135,518,3164,"16,4","0,164",0,2,5,1,13,13
322,Dampit,Dampit,01/01/2024,2024,Februari,74,46,120,3512,"3,4","0,034",0,2,4,5,13,13
323,Dampit,Pamotan,01/01/2024,2024,Februari,43,2,45,3073,"1,5","0,015",0,2,4,2,10,10
324,Tirtoyudo,Tirtoyudo,01/01/2024,2024,Februari,230,64,294,3480,"8,4","0,084",0,1,4,5,13,13
325,Ampelgading,Ampelgading,01/01/2024,2024,Februari,46,12,58,3006,"1,9","0,019",0,1,2,4,7,7
326,Poncokusumo,Poncokusumo,01/01/2024,2024,Februari,110,33,143,5796,"2,5","0,025",0,1,4,1,7,7
327,Wajak,Wajak,01/01/2024,2024,Februari,390,13,403,5112,"7,9","0,079",1,1,2,1,6,6
328,Turen,Turen,01/01/2024,2024,Februari,461,98,559,7023,8,"0,08",2,1,4,1,7,7
329,Bululawang,Bululawang,01/01/2024,2024,Februari,376,52,428,3432,"12,5","0,125",1,1,4,11,18,18
330,Gondanglegi,Gondanglegi,01/01/2024,2024,Februari,172,41,213,2651,8,"0,08",1,2,3,3,10,10
331,Gondanglegi,Ketawang,01/01/2024,2024,Februari,76,52,128,2420,"5,3","0,053",1,2,3,3,9,9
332,Pagelaran,Pagelaran,01/01/2024,2024,Februari,283,36,319,4596,"6,9","0,069",1,1,2,1,15,15
333,Kepanjen,Kepanjen,01/01/2024,2024,Februari,110,32,142,6216,"2,3","0,023",3,1,0,3,15,15
334,Sumberpucung,Sumberpucung,01/01/2024,2024,Februari,161,28,189,2862,"6,6","0,066",0,1,1,11,11,11
335,Kromengan,Kromengan,01/01/2024,2024,Februari,90,14,104,2170,"4,8","0,048",1,1,1,5,12,12
336,Ngajum,Ngajum,01/01/2024,2024,Februari,201,41,242,2276,"10,6","0,106",0,1,2,0,9,9
337,Wonosari,Wonosari,01/01/2024,2024,Februari,85,24,109,1921,"5,7","0,057",0,1,2,3,12,12
338,Wagir,Wagir,01/01/2024,2024,Februari,89,20,109,5184,"2,1","0,021",0,1,3,9,10,10
339,Pakisaji,Pakisaji,01/01/2024,2024,Februari,176,41,217,5664,"3,8","0,038",1,1,2,7,9,9
340,Tajinan,Tajinan,01/01/2024,2024,Februari,279,104,383,3794,"10,1","0,101",0,1,3,9,6,6
341,Tumpang,Tumpang,01/01/2024,2024,Februari,310,62,372,4978,"7,5","0,075",1,1,2,4,6,6
342,Pakis,Pakis,01/01/2024,2024,Februari,178,17,195,8104,"2,4","0,024",2,1,2,7,10,10
343,Jabung,Jabung,01/01/2024,2024,Februari,360,75,435,3736,"11,6","0,116",0,1,3,2,9,9
344,Lawang,Lawang,01/01/2024,2024,Februari,175,0,175,4817,"3,6","0,036",5,1,3,3,13,13
345,Singosari,Singosari,01/01/2024,2024,Februari,107,30,137,4892,"2,8","0,028",3,2,6,0,3,3
346,Singosari,Ardimulyo,01/01/2024,2024,Februari,131,37,168,4593,"3,7","0,037",3,2,6,0,8,8
347,Karangploso,Karangploso,01/01/2024,2024,Februari,243,49,292,5359,"5,4","0,054",1,1,3,1,7,7
348,Dau,Dau,01/01/2024,2024,Februari,248,75,323,3354,"9,6","0,096",1,1,2,3,9,9
349,Pujon,Pujon,01/01/2024,2024,Februari,598,127,725,3669,"19,8","0,198",0,1,2,2,7,7
350,Ngantang,Ngantang,01/01/2024,2024,Februari,374,88,462,3294,14,"0,14",1,1,2,0,7,7
351,Kasembon,Kasembon,01/01/2024,2024,Februari,136,12,148,1717,"8,6","0,086",1,1,2,4,10,10
352,Donomulyo,Donomulyo,01/01/2024,2024,Agustus,171,40,211,3482,"6,06","0,0606",0,1,4,4,6,6
353,Kalipare,Kalipare,01/01/2024,2024,Agustus,126,29,155,3453,"4,49","0,0449",0,1,3,1,2,2
354,Pagak,Pagak,01/01/2024,2024,Agustus,19,0,19,1394,"1,36","0,0136",0,2,3,0,4,4
355,Pagak,Sumbermanjing Kulon,01/01/2024,2024,Agustus,19,16,35,1016,"3,44","0,0344",0,2,3,0,3,3
356,Bantur,Bantur,01/01/2024,2024,Agustus,140,11,151,1953,"7,73","0,0773",0,2,4,1,5,5
357,Bantur,Wonokerto,01/01/2024,2024,Agustus,146,9,155,2034,"7,62","0,0762",0,2,4,2,9,9
358,Gedangan,Gedangan,01/01/2024,2024,Agustus,70,29,99,3281,"3,02","0,0302",0,1,3,2,6,6
359,Sumbermanjing Wetan,Sitiarjo,01/01/2024,2024,Agustus,172,32,204,2353,"8,67","0,0867",0,2,5,1,6,6
360,Sumbermanjing Wetan,Sumbermanjing,01/01/2024,2024,Agustus,494,119,613,3347,"18,31","0,1831",0,2,5,1,13,13
361,Dampit,Dampit,01/01/2024,2024,Agustus,115,50,165,3608,"4,57","0,0457",0,2,4,5,13,13
362,Dampit,Pamotan,01/01/2024,2024,Agustus,80,46,126,2963,"4,25","0,0425",0,2,4,2,10,10
363,Tirtoyudo,Tirtoyudo,01/01/2024,2024,Agustus,200,81,281,3641,"7,72","0,0772",0,1,4,5,13,13
364,Ampelgading,Ampelgading,01/01/2024,2024,Agustus,40,18,58,3295,"1,76","0,0176",0,1,2,4,7,7
365,Poncokusumo,Poncokusumo,01/01/2024,2024,Agustus,32,24,56,6859,"0,82","0,0082",0,1,4,1,7,7
366,Wajak,Wajak,01/01/2024,2024,Agustus,465,11,476,5335,"8,92","0,0892",1,1,2,1,6,6
367,Turen,Turen,01/01/2024,2024,Agustus,491,100,591,6959,"8,49","0,0849",2,1,4,1,7,7
368,Bululawang,Bululawang,01/01/2024,2024,Agustus,172,8,180,4298,"4,19","0,0419",1,1,4,11,18,18
369,Gondanglegi,Gondanglegi,01/01/2024,2024,Agustus,98,79,177,2824,"6,27","0,0627",1,2,3,3,10,10
370,Gondanglegi,Ketawang,01/01/2024,2024,Agustus,76,58,134,2576,"5,2","0,052",1,2,3,3,9,9
371,Pagelaran,Pagelaran,01/01/2024,2024,Agustus,265,10,275,4441,"6,19","0,0619",1,1,2,1,15,15
372,Kepanjen,Kepanjen,01/01/2024,2024,Agustus,175,23,198,7699,"2,57","0,0257",3,1,0,3,15,15
373,Sumberpucung,Sumberpucung,01/01/2024,2024,Agustus,152,33,185,2944,"6,28","0,0628",0,1,1,11,11,11
374,Kromengan,Kromengan,01/01/2024,2024,Agustus,129,19,148,2151,"6,88","0,0688",1,1,1,5,12,12
375,Ngajum,Ngajum,01/01/2024,2024,Agustus,159,79,238,3623,"6,57","0,0657",0,1,2,0,9,9
376,Wonosari,Wonosari,01/01/2024,2024,Agustus,94,36,130,1930,"6,74","0,0674",0,1,2,3,12,12
377,Wagir,Wagir,01/01/2024,2024,Agustus,119,49,168,5232,"3,21","0,0321",0,1,3,9,10,10
378,Pakisaji,Pakisaji,01/01/2024,2024,Agustus,166,76,242,5620,"4,31","0,0431",1,1,2,7,9,9
379,Tajinan,Tajinan,01/01/2024,2024,Agustus,168,19,187,3684,"5,08","0,0508",0,1,3,9,6,6
380,Tumpang,Tumpang,01/01/2024,2024,Agustus,474,39,513,5082,"10,09","0,1009",1,1,2,4,6,6
381,Pakis,Pakis,01/01/2024,2024,Agustus,195,17,212,8166,"2,6","0,026",2,1,2,7,10,10
382,Jabung,Jabung,01/01/2024,2024,Agustus,217,96,313,3693,"8,48","0,0848",0,1,3,2,9,9
383,Lawang,Lawang,01/01/2024,2024,Agustus,536,38,574,7310,"7,85","0,0785",5,1,3,3,13,13
384,Singosari,Singosari,01/01/2024,2024,Agustus,134,48,182,5267,"3,46","0,0346",3,2,6,0,3,3
385,Singosari,Ardimulyo,01/01/2024,2024,Agustus,199,46,245,4676,"5,24","0,0524",3,2,6,0,8,8
386,Karangploso,Karangploso,01/01/2024,2024,Agustus,257,97,354,5314,"6,66","0,0666",1,1,3,1,7,7
387,Dau,Dau,01/01/2024,2024,Agustus,297,65,362,4219,"8,58","0,0858",1,1,2,3,9,9
388,Pujon,Pujon,01/01/2024,2024,Agustus,511,102,613,3927,"15,61","0,1561",0,1,2,2,7,7
389,Ngantang,Ngantang,01/01/2024,2024,Agustus,138,31,169,3335,"9,84","0,0984",1,1,2,0,7,7
390,Kasembon,Kasembon,01/01/2024,2024,Agustus,248,80,328,1807,"9,35","0,0935",1,1,2,4,10,10
